Zipcode,Total,White,Black,Asian,Multi,Other,Median_Income,Mean_Income
14527,12990,0.971978445,0.0073903,0.006774442,0.008929946,0.004926867,47697,63672
14529,108,1,0,0,0,0,44688,86233
14530,5434,0.972027972,0.013986014,0,0.007913139,0.006072874,48153,55923
14532,4328,0.984288355,0.001155268,0.002079482,0.00577634,0.006700555,52500,61778
14533,1717,0.917880023,0.002329645,0.013395457,0.066394875,0,56058,64464
14534,32537,0.881673172,0.026031902,0.068752497,0.01296985,0.010572579,106113,146656
14536,578,0.996539792,0,0.003460208,0,0,44688,54156
14537,164,1,0,0,0,0,62045,71049
14539,143,1,0,0,0,0,80625,80643
14541,4610,0.709761388,0.239913232,0.003687636,0.014099783,0.032537961,59740,72646
14542,41,1,0,0,0,0,54028,58028
14543,3073,0.972990563,0.012691181,0.002603319,0.006508298,0.005206638,86875,105069
14544,2420,0.978099174,0.01322314,0,0.005371901,0.003305785,58558,69025
14545,174,1,0,0,0,0,58750,53685
14546,4955,0.910797175,0.043995964,0.007265388,0.03592331,0.002018163,57295,67684
14548,4496,0.933274021,0.021129893,0.004225979,0.024911032,0.016459075,62031,67078
14549,42,1,0,0,0,0,N/A,N/A
14550,1714,0.986581097,0.000583431,0.003500583,0.005834306,0.003500583,62951,68982
14551,5630,0.841563055,0.11634103,0.002841918,0.022912966,0.01634103,47239,53805
14555,1229,0.960130187,0.02278275,0,0.014646054,0.002441009,57500,67279
14559,18098,0.933694331,0.02608023,0.01801304,0.016300144,0.005912255,69564,79693
14560,1819,0.991753711,0,0,0,0.008246289,56858,71769
14561,3264,0.965686275,0.000919118,0,0.033394608,0,60578,73260
14564,14497,0.956749672,0.005656343,0.030696006,0.005656343,0.001241636,76231,101400
14568,6203,0.979203611,0.000161212,0.003063034,0.007738191,0.009833951,76042,78352
14569,6187,0.968159043,0.011152416,0.002262809,0.017940844,0.000484888,42313,51837
14571,1181,0.896697714,0.076206605,0,0.014394581,0.012701101,54659,66145
14572,5304,0.969834087,0.011689291,0.003959276,0.012631976,0.00188537,42660,51197
14580,50559,0.940426037,0.013983663,0.030479242,0.011016832,0.004094227,69189,85612
14585,67,1,0,0,0,0,29063,35529
14586,10755,0.766527197,0.089074849,0.093258949,0.029381683,0.021757322,70027,71186
14588,269,0.427509294,0.516728625,0.022304833,0.033457249,0,35000,36456
14589,7713,0.905613899,0.061195384,0.005315701,0.016076754,0.011798263,55558,77981
14590,5020,0.976494024,0.007370518,0.000796813,0.012350598,0.002988048,42439,55850
14591,1701,0.970017637,0,0.01175779,0.017048795,0.001175779,62768,72595
14592,224,1,0,0,0,0,83911,99951
14604,1607,0.566272558,0.307405103,0.039825762,0.057249533,0.029247044,11830,23015
14605,13584,0.24963192,0.533863369,0.035409305,0.04586278,0.135232627,18569,27622
14606,29551,0.648302934,0.226252919,0.050861223,0.025515211,0.049067713,38545,49488
14607,16144,0.809093162,0.129274034,0.015485629,0.020255203,0.025891972,40502,58544
14608,12058,0.20326754,0.664538066,0.041715044,0.038729474,0.051749876,20796,31929
14609,42628,0.537017922,0.326053298,0.012714648,0.054048982,0.07016515,42123,49969
14610,13655,0.883119736,0.065983156,0.027096302,0.02006591,0.003734896,56629,90210
14611,17573,0.252091276,0.647584362,0.009730837,0.035452114,0.05514141,24664,32747
14612,35070,0.909923011,0.052894212,0.014684916,0.012403764,0.010094098,59216,72632
14613,13112,0.356924954,0.482687614,0.083206223,0.052852349,0.024328859,28425,40076
