"","camis","dba","boro","zipcode","cuisine_description","score","grade","rodent_list","roach_list","total.list","white.list","black.list","asian.list","multi.list","other.list","mean_income.list","median_income.list","cuisine_group_factor"
"108333","41029411","PRONTO PIZZA","MANHATTAN","10018","Pizza",47,"C",FALSE,FALSE,7021,0.587523145,0.066229882,0.255234297,0.025637374,0.065375303,139891,104635,"Pizza"
"108430","41029870","D'ALEO'S PIZZERIA","QUEENS","11421","Pizza",10,"A",FALSE,FALSE,42588,0.447520428,0.065652296,0.166619705,0.044754391,0.275453179,76733,60897,"Pizza"
"108448","41029952","ONE WAY DELI","BROOKLYN","11242","Delicatessen",9,"A",TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Sandwiches"
"108492","41030615","SERAFINA","MANHATTAN","10019","Italian",12,"A",FALSE,FALSE,38394,0.726181174,0.065765484,0.134005313,0.026332239,0.047715789,135288,84424,"Italian"
"108505","41030732","SHUN FOO CHINESE RESTAURANT","QUEENS","11420","Chinese",5,"A",FALSE,FALSE,48449,0.16617474,0.282523891,0.184730335,0.064645297,0.301925736,77629,59832,"Chinese"
"108542","41030858","LA MIA PIZZA","MANHATTAN","10075","Pizza",32,"Z",FALSE,FALSE,24849,0.884904825,0.014487505,0.058271963,0.018109381,0.024226327,189081,102941,"Pizza"
"108614","41030982","FAT BUDDHA","MANHATTAN","10009","Asian",9,"A",FALSE,FALSE,62810,0.597675529,0.071580958,0.152682694,0.032733641,0.145327177,85508,59929,"Asian"
"108683","41031273","ARIYOSHI JAPANESE RESTAURANT","MANHATTAN","10022","Japanese",8,"A",FALSE,FALSE,29618,0.852961037,0.020730637,0.097980958,0.013944223,0.014383145,214340,109019,"Asian"
"108833","41032444","BUTTERFISH","MANHATTAN","10022","Japanese",9,"A",FALSE,FALSE,29618,0.852961037,0.020730637,0.097980958,0.013944223,0.014383145,214340,109019,"Asian"
"108881","41032752","DONs BOGAM","MANHATTAN","10016","Korean",9,"A",FALSE,FALSE,51196,0.748906165,0.032912728,0.155480897,0.023380733,0.039319478,155107,105324,"Asian"
"108899","41033036","CHANCE","BROOKLYN","11201","Asian",4,"Z",FALSE,FALSE,54668,0.663678935,0.128320041,0.090034389,0.05054145,0.067425185,151188,95369,"Asian"
"108966","41033173","WENDY'S","STATEN ISLAND","10305","Hamburgers",10,"A",FALSE,FALSE,42006,0.773746608,0.04187497,0.123339523,0.018164072,0.042874827,83935,70758,"American"
"108992","41033184","WENDY'S","STATEN ISLAND","10306","Hamburgers",10,"A",FALSE,FALSE,55902,0.879288755,0.030821795,0.053808451,0.011842152,0.024238847,93591,75807,"American"
"109004","41033197","WENDY'S","STATEN ISLAND","10314","Hamburgers",4,"A",FALSE,FALSE,87276,0.774840735,0.042611944,0.13909895,0.011721435,0.031726935,91434,77242,"American"
"109014","41033207","WENDY'S","STATEN ISLAND","10309","Hamburgers",9,"A",FALSE,FALSE,32646,0.915058506,0.025056669,0.037493108,0.011027385,0.011364333,105948,86297,"American"
"109036","41033350","EAT LIKE ME RESTAURANT","BRONX","10453","Caribbean",11,"A",TRUE,FALSE,79793,0.113919767,0.329878561,0.014625343,0.040341885,0.501234444,35381,25470,"Latin/Spanish"
"109057","41033693","ONE 7 KARAOKE","MANHATTAN","10011","Japanese",10,"A",FALSE,FALSE,52167,0.779860832,0.041213794,0.097341231,0.043418253,0.03816589,191483,104238,"Asian"
"109077","41034123","POLLOS MARIO","QUEENS","11372","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,"A",FALSE,FALSE,63320,0.615240051,0.022109918,0.18780796,0.031285534,0.143556538,62316,48683,"Latin/Spanish"
"109165","41035201","LE PAIN QUOTIDIEN","MANHATTAN","10011","Sandwiches",9,"A",FALSE,FALSE,52167,0.779860832,0.041213794,0.097341231,0.043418253,0.03816589,191483,104238,"Sandwiches"
"109281","41035706","LA LECHONERA #2 RESTAURANT","BROOKLYN","11207","Spanish",9,"A",FALSE,FALSE,92491,0.143116628,0.666053994,0.01137408,0.018185553,0.161269745,45365,32945,"Latin/Spanish"
"109341","41036011","HUNTSPOINT CHINESE RESTAURANT","BRONX","10459","Chinese",10,"A",FALSE,FALSE,47977,0.132104967,0.304500073,0.00621131,0.039393876,0.517789774,35421,24461,"Chinese"
"109410","41036469","VILLAGGIO PIZZERIA RESTAURANT","STATEN ISLAND","10307","Pizza/Italian",12,"A",FALSE,FALSE,14829,0.93816171,0.006136624,0.032773619,0.012340684,0.010587363,109555,86457,"Italian"
"109478","41036561","TRINIDAD ALI'S ROTI SHOP #2","BROOKLYN","11225","Caribbean",12,"A",FALSE,FALSE,59182,0.177672265,0.73441249,0.022287182,0.011625156,0.054002906,56892,42922,"Latin/Spanish"
"109565","41037278","FAMOUS FAMIGLIA ","MANHATTAN","10065","Pizza",13,"A",FALSE,FALSE,32797,0.86337165,0.026984175,0.085952984,0.016830808,0.006860384,214581,115519,"Pizza"
"109586","41037299","LEONE'S PIZZERIA & RESTAURANT","QUEENS","11385","Pizza/Italian",12,"A",FALSE,FALSE,99379,0.818009841,0.019843226,0.068767043,0.01860554,0.074774349,64260,50799,"Italian"
"109620","41037812","EL NUEVO YOLY RESTAURANT","BRONX","10452","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",7,"A",FALSE,FALSE,74931,0.153167581,0.33173186,0.014920393,0.028733101,0.471447065,36082,25979,"Latin/Spanish"
"109694","41038085","SHAKE SHACK","MANHATTAN","10010","Hamburgers",4,"A",FALSE,FALSE,30670,0.711444408,0.059341376,0.149722856,0.048679491,0.030811868,145088,97955,"American"
"109737","41038249","DOMAND'S ITALIAN GOURMET DELI & CATERERS","QUEENS","11354","Delicatessen",10,"A",FALSE,FALSE,56258,0.265046749,0.037363575,0.580664083,0.0338263,0.083099293,63705,46566,"Sandwiches"
"109755","41038490","SUBWAY","BRONX","10467","Sandwiches",5,"A",FALSE,FALSE,98754,0.186635478,0.384814792,0.061101322,0.042823582,0.324624825,47694,36048,"Sandwiches"
"109797","41038585","LA TERRAZA RESTAURANT","MANHATTAN","10032","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10,"A",FALSE,FALSE,59374,0.285158487,0.226395392,0.029709974,0.062333681,0.396402466,49378,34568,"Latin/Spanish"
"109819","41038600","LIBERTY PIZZA","BROOKLYN","11205","Pizza",9,"A",TRUE,FALSE,43002,0.474326775,0.320706014,0.056113669,0.033300777,0.115552765,73758,44688,"Pizza"
"109844","41038749","ABITINO'S PIZZA","MANHATTAN","10018","Pizza/Italian",12,"A",FALSE,FALSE,7021,0.587523145,0.066229882,0.255234297,0.025637374,0.065375303,139891,104635,"Italian"
"110038","41039631","CANAAN CAKE HOUSE","QUEENS","11354","Asian",11,"A",FALSE,FALSE,56258,0.265046749,0.037363575,0.580664083,0.0338263,0.083099293,63705,46566,"Asian"
"110129","41040222","EL RINCONCITO DE NAGUA","QUEENS","11421","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",19,"B",FALSE,FALSE,42588,0.447520428,0.065652296,0.166619705,0.044754391,0.275453179,76733,60897,"Latin/Spanish"
"110184","41040405","MCDONALD'S","BROOKLYN","11217","Hamburgers",11,"A",FALSE,FALSE,38787,0.548379612,0.208471911,0.065588986,0.043803336,0.133756155,117480,81862,"American"
"110257","41040655","25TH DELI","QUEENS","11103","Delicatessen",6,"A",FALSE,FALSE,37745,0.772314214,0.027023447,0.128652802,0.026122665,0.045886872,69034,55129,"Sandwiches"
"110390","41041936","ANDREW'S PIZZERIA","QUEENS","11379","Pizza/Italian",13,"A",FALSE,FALSE,35822,0.862737982,0.015269946,0.083524091,0.008542237,0.029925744,83856,69843,"Italian"
"110416","41042010","TIA POL","MANHATTAN","10011","Spanish",8,"A",FALSE,FALSE,52167,0.779860832,0.041213794,0.097341231,0.043418253,0.03816589,191483,104238,"Latin/Spanish"
"110485","41042383","EL DORADO RESTAURANT","QUEENS","11435","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",13,"A",FALSE,FALSE,53542,0.235273243,0.237719921,0.197975421,0.061970042,0.267061372,64739,53041,"Latin/Spanish"
"110578","41042574","BREADSOUL CAFE/ LINCOLN CAFE","MANHATTAN","10023","Delicatessen",9,"A",FALSE,FALSE,61315,0.826518796,0.034151513,0.102797032,0.02454538,0.011987279,183329,103534,"Sandwiches"
